Organization,Address,Region,Phone,Website,Location Rank
Frisco,"4900 Throne Hall Way, Frisco, Texas 75034",,469-476-3900,https://www.lifetime.life/locations/tx/frisco.html,Preferred Target
Galleria Tennis (Houston),"5015 Westheimer Rd Ste 4020, Houston, Texas 77056",,281-707-7800,https://www.lifetime.life/locations/tx/galleria-tennis-houston.html,Preferred Target
Garland,"5602 Naaman Forest Blvd, Garland, Texas 75044",,972-496-5000,https://www.lifetime.life/locations/tx/garland.html,Preferred Target
GreenStreet,"1201 Main Street, Suites 110 & 210, Houston, Texas 77002",,713-258-2600,https://www.lifetime.life/locations/tx/greenstreet.html,Preferred Target
Greenway,"1 Healthy Way, Houston, Texas 77046",,281-916-7300,https://www.lifetime.life/locations/tx/greenway.html,Preferred Target
Kingwood,"20515 W Lake Houston Pkwy, Humble, Texas 77346",,832-445-3900,https://www.lifetime.life/locations/tx/kingwood.html,Preferred Target
Lake Houston,"13600 Will Clayton Pkwy, Humble, Texas 77346",,281-812-4100,https://www.lifetime.life/locations/tx/lake-houston.html,Preferred Target
Las Colinas,"7320 N State Highway 161, Irving, Texas 75063",,214-231-5600,https://www.lifetime.life/locations/tx/las-colinas.html,Preferred Target
Life Time Work City Centre (Houston),"825 Town & Country Lane, Houston, TX 77024",,713-328-1129,https://work.lifetime.life/locations/tx-houston-city-centre-five.html,Preferred Target
Life Time Work GreenStreet (Houston),"1201 Fannin Street, Suites #202 & #302, Houston, TX 77002",,346-299-5977,https://work.lifetime.life/locations/tx-greenstreet.html,Preferred Target
Life Time Work Shenandoah,"9002 Six Pines Drive, Shenandoah, TX 77380",,,https://work.lifetime.life/locations/tx-shenandoah.html,Preferred Target
Mansfield,"1551 E Debbie Ln, Mansfield, Texas 76063",,682-518-7766,https://www.lifetime.life/locations/tx/mansfield.html,Preferred Target
McKinney at Craig Ranch,"7910 Collin McKinney Parkway, McKinney, Texas 75070",,469-748-3100,https://www.lifetime.life/locations/tx/mckinney-craig-ranch.html,Preferred Target
Missouri City,"8421 Highway 6, Missouri City, Texas 77459",,281-969-2500,https://www.lifetime.life/locations/tx/missouri-city.html,Preferred Target
Plano,"7100 Preston Rd, Plano, Texas 75024",,214-227-0700,https://www.lifetime.life/locations/tx/plano.html,Preferred Target
Plano Tennis,"7090 Preston Rd, Plano, Texas 75024",,469-353-6000,https://www.lifetime.life/locations/tx/plano-tennis.html,Preferred Target
San Antonio 281,"18510 US Highway 281 N, San Antonio, Texas 78259",,210-545-5000,https://www.lifetime.life/locations/tx/san-antonio-281.html,Preferred Target
San Antonio at the Rim,"5639 Worth Pkwy, San Antonio, Texas 78257",,210-222-1984,https://www.lifetime.life/locations/tx/san-antonio-at-the-rim.html,Preferred Target
Shenandoah,"9000 Six Pines Drive, Shenandoah, Texas 77380",,346-786-5950,https://www.lifetime.life/locations/tx/shenandoah.html,Preferred Target
South Lamar,"1301 South Lamar Suite 100, Austin, TX 78704",,,https://www.lifetime.life/locations/tx/south-lamar.html,Preferred Target
Sugar Land,"1331 Highway 6, Sugar Land, Texas 77478",,281-340-3100,https://www.lifetime.life/locations/tx/sugar-land.html,Preferred Target
Westlake,"2902 Sam School Road, Westlake, Texas 76262",,817-693-6500,https://www.lifetime.life/locations/tx/westlake.html,Preferred Target
South Jordan,"10996 S River Front Pkwy, South Jordan, Utah 84095",,801-302-0909,https://www.lifetime.life/locations/ut/south-jordan.html,Preferred Target
Ashburn-Sterling,"44610 Prentice Dr, Sterling, Virginia 20166",,703-433-0256,https://www.lifetime.life/locations/va/ashburn-sterling.html,Preferred Target
Centreville,"5900 Trinity Pkwy, Centreville, Virginia 20120",,703-266-6200,https://www.lifetime.life/locations/va/centreville.html,Preferred Target
Clarendon,"1440 N Edgewood St., Arlington, Virginia 22201",,703-666-2900,https://www.lifetime.life/locations/va/clarendon.html,Preferred Target
Fairfax,"9602 Main St, Fairfax, Virginia 22031",,703-323-8700,https://www.lifetime.life/locations/va/fairfax.html,Preferred Target
Gainesville,"7801 Limestone Drive, Gainesville, Virginia 20155",,703-743-6100,https://www.lifetime.life/locations/va/gainesville.html,Preferred Target
Reston,"1757 Business Center Dr, Reston, Virginia 20190",,571-512-3500,https://www.lifetime.life/locations/va/reston.html,Preferred Target
Bellevue,"11111 NE 8th St, Bellevue, Washington 98004",,855-430-5433,https://www.lifetime.life/locations/wa/bellevue.html,Preferred Target
Brookfield,"17585 Golf Pkwy, Brookfield, Wisconsin 53045",,262-899-7100,https://www.lifetime.life/locations/wi/brookfield.html,Preferred Target
Ajax,"100 Beck Crescent, Ajax, Ontario L1Z 1C9",,905-619-0211,https://www.lifetime.life/locations/on/ajax.html,Preferred Target
Mississauga,"3055 Pepper Mill Ct, Mississauga, Ontario L5L 4X5",,905-363-0200,https://www.lifetime.life/locations/on/mississauga.html,Preferred Target
Woodbridge,"7405 Weston Rd, Vaughan, Ontario L4L 0H3",,289-290-6600,https://www.lifetime.life/locations/on/woodbridge.html,Preferred Target
